name,true_area,lat,lon,overpass_area,nominatim_area,population_estimate,overpass_area_error,overpass_area_error_pct,nominatim_area_error,nominatim_area_error_pct,population_estimate_error,population_estimate_error_pct
Paris,105.4,48.8566,2.3522,69.85663177962395,158.8398761177932,550.0,35.54336822037605,33.722360740394734,53.439876117793204,50.70196975122695,444.6,421.8216318785578
Amsterdam,219.3,52.377956,4.89707,38.79427864114504,355.25224656496295,217.5,180.50572135885497,82.30995046003419,135.95224656496293,61.99372848379523,1.8000000000000114,0.820793433652536
Bruges,138.4,51.2093,3.2247,8.909364774622098,222.89907734109227,30.0,129.4906352253779,93.5625977061979,84.49907734109226,61.05424663373717,108.4,78.32369942196532
Florence,102.4,43.7696,11.2558,,,95.0,,,,,7.400000000000006,7.226562500000005
Berlin,891.8,52.52,13.405,298.3811095207418,,925.0,593.4188904792582,66.54170110778854,,,33.200000000000045,3.722807804440463
Singapore,734.3,1.3521,103.8198,,,1266.6666666666667,,,,,532.3666666666668,72.49988651323258
Tokyo,627.0,35.6762,139.6503,,,1555.5555555555557,,,,,928.5555555555557,148.0949849370902
Sydney,26.7,-33.8688,151.2093,,,1766.6666666666667,,,,,1739.9666666666667,6516.729088639201
Cape Town,2446.0,-33.9249,18.4241,,,2300.0,,,,,146.0,5.9689288634505315
Vancouver,115.0,49.2827,-123.1207,,,270.0,,,,,155.0,134.7826086956522
Queenstown,8705.0,-45.0312,168.6626,26.915316864462124,,20.0,8678.084683135537,99.69080623935139,,,8685.0,99.77024698449168
